id,naca,AoA,Re,U_inf,rho,nu,p_inf,p_vap,source
case_212,2412,4.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_213,2412,6.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_214,2412,6.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_215,2412,6.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_216,2412,6.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_217,2412,8.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_218,2412,8.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_219,2412,8.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_220,2412,8.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_221,2412,10.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_222,2412,10.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_223,2412,10.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_224,2412,10.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_225,2415,-4.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_226,2415,-4.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_227,2415,-4.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_228,2415,-4.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_229,2415,-2.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_230,2415,-2.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_231,2415,-2.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_232,2415,-2.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_233,2415,0.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
