naca,Re,reference_case,reference_AoA,case,AoA,max_abs_pressure_difference_Pa,exact_duplicate_across_AoA
0008,500000.0,case_035,-4.0,case_055,6.0,0.0,True
0008,500000.0,case_035,-4.0,case_059,8.0,0.0,True
0008,500000.0,case_035,-4.0,case_063,10.0,0.0,True
0008,1000000.0,case_036,-4.0,case_040,-2.0,0.0,True
0008,1000000.0,case_036,-4.0,case_044,0.0,0.0,True
0008,1000000.0,case_036,-4.0,case_048,2.0,0.0,True
0008,1000000.0,case_036,-4.0,case_052,4.0,0.0,True
0008,1000000.0,case_036,-4.0,case_056,6.0,0.0,True
0008,1000000.0,case_036,-4.0,case_060,8.0,0.0,True
0008,1000000.0,case_036,-4.0,case_064,10.0,0.0,True
0010,100000.0,case_065,-4.0,case_069,-2.0,0.0,True
0010,100000.0,case_065,-4.0,case_073,0.0,0.0,True
0010,100000.0,case_065,-4.0,case_077,2.0,0.0,True
0010,100000.0,case_065,-4.0,case_081,4.0,0.0,True
0010,100000.0,case_065,-4.0,case_085,6.0,0.0,True
0010,100000.0,case_065,-4.0,case_089,8.0,0.0,True
0010,100000.0,case_065,-4.0,case_093,10.0,0.0,True
0010,200000.0,case_066,-4.0,case_070,-2.0,0.0,True
0010,200000.0,case_066,-4.0,case_074,0.0,0.0,True
0010,200000.0,case_066,-4.0,case_078,2.0,0.0,True
0010,200000.0,case_066,-4.0,case_082,4.0,0.0,True
0010,200000.0,case_066,-4.0,case_086,6.0,0.0,True
0010,200000.0,case_066,-4.0,case_090,8.0,0.0,True
0010,200000.0,case_066,-4.0,case_094,10.0,0.0,True
0010,500000.0,case_067,-4.0,case_071,-2.0,0.0,True
0010,500000.0,case_067,-4.0,case_075,0.0,0.0,True
0010,500000.0,case_067,-4.0,case_079,2.0,0.0,True
0010,500000.0,case_067,-4.0,case_083,4.0,0.0,True
0010,500000.0,case_067,-4.0,case_087,6.0,0.0,True
0010,500000.0,case_067,-4.0,case_091,8.0,0.0,True
0010,500000.0,case_067,-4.0,case_095,10.0,0.0,True
0010,1000000.0,case_068,-4.0,case_072,-2.0,0.0,True
0010,1000000.0,case_068,-4.0,case_076,0.0,0.0,True
0010,1000000.0,case_068,-4.0,case_080,2.0,0.0,True
0010,1000000.0,case_068,-4.0,case_084,4.0,0.0,True
0010,1000000.0,case_068,-4.0,case_088,6.0,0.0,True
