AoA,Cd_grid_pressure,Cd_model_integrated_pressure,Cd_model_pressure,Cd_openfoam_total,Cl_grid_pressure,Cl_model_integrated_pressure,Cl_model_pressure,Cl_openfoam_total,L_over_D_model_pressure,L_over_D_openfoam_total,Re,U_inf,case,model,naca
0.0,0.0048563421622021645,0.0015290992880520695,0.012500416487455368,0.008793256,-0.01868862447031557,-0.003767747803939404,0.034950897097587585,-0.03578722,2.79597860860573,-4.069848529372965,500000.0,0.5,case_011,unet,0006
0.0,0.004830199669895075,0.0004173991354805856,0.012187386862933636,0.007809732,-0.018820008288352726,0.0013641854621844404,0.0623711496591568,-0.03604435,5.117680300184004,-4.615312023511178,1000000.0,1.0,case_012,unet,0006
2.0,0.0067812065485400004,0.09063746496795398,0.012944894842803478,0.01842412,0.08967807738544534,1.3720659787446716,0.2300853580236435,0.1818919,17.774216076506487,9.872487804030804,100000.0,0.09999999999999999,case_013,unet,0006
2.0,0.006633702822814245,0.022814765267733433,0.01300768181681633,0.01381151,0.08984768098371905,0.3515247351013181,0.23487412929534912,0.1825693,18.05657092501324,13.21863431297519,200000.0,0.19999999999999998,case_014,unet,0006
2.0,0.006550530579396326,0.0037106664239856084,0.013231178745627403,0.01093149,0.08995741500243155,0.06034166309002329,0.2492830604314804,0.1829588,18.840578396226615,16.736858378866923,500000.0,0.5,case_015,unet,0006
2.0,0.006522645257790596,0.0009406526980436055,0.01367807574570179,0.009952477,0.08999079987924193,0.016810980865447547,0.2730024456977844,0.1830806,19.95912661790698,18.395480843613104,1000000.0,1.0,case_016,unet,0006
4.0,0.01344329712318345,0.1644572274697239,0.019419606775045395,0.02818171,0.20184261030793485,2.789313439243708,0.4037688672542572,0.4048118,20.79181478448414,14.364344817968817,100000.0,0.09999999999999999,case_017,unet,0006
4.0,0.012901187247819216,0.0411255404816841,0.019712500274181366,0.0232264,0.19480392726513174,0.7078597527722768,0.4079393744468689,0.3928634,20.69445117427196,16.91451968449695,200000.0,0.19999999999999998,case_018,unet,0006
4.0,0.012824965548058911,0.0065823942362975615,0.020655080676078796,0.0204691,0.1953673699074085,0.11855431386436603,0.4206542372703552,0.3943028,20.365654526710525,19.26331885622719,500000.0,0.5,case_019,unet,0006
4.0,0.01279950836276696,0.0016425763723986202,0.022451406344771385,0.01953112,0.19555700484018082,0.03206364178354614,0.4425157606601715,0.3947766,19.709935042141677,20.212696455707608,1000000.0,1.0,case_020,unet,0006
6.0,0.024501291576083932,0.3369192205979774,0.036870427429676056,0.04516426,0.29147130913882763,5.072856137972051,0.594505786895752,0.5837019,16.124190261413936,12.923977941850481,100000.0,0.09999999999999999,case_021,unet,0006
6.0,0.02449211166286163,0.08505902997655271,0.037406980991363525,0.04073193,0.29357292159280346,1.2874306420165096,0.59983891248703,0.5866558,16.035480452847025,14.402848085028133,200000.0,0.19999999999999998,case_022,unet,0006
6.0,0.02444509727152257,0.014029447600986443,0.039022982120513916,0.03822575,0.2946053280845173,0.21538069845518218,0.6163514852523804,0.5890972,15.794576727860369,15.411004362242728,500000.0,0.5,case_023,unet,0006
