AoA,Cd,Cl,L_over_D,cache_key,case_id,error,evaluation,m,min_cavitation_margin,objective,p,risky_cell_fraction,start,status,t,wall_seconds
4.079836273193361,0.02285221,0.6142901,26.87981688349251,9c6271324902,start_2412_eval_026_9c6271324902,,26,0.02039225769042968,98886.482802,26.87981688349251,0.4023281097412108,0.0,2412,ok,0.11604846954345702,10.093950957998459
4.059986495971678,0.02299547,0.6113522,26.584610594582557,db90c212305c,start_2412_eval_027_db90c212305c,,27,0.02032405853271484,98882.535679,26.584610594582557,0.4055927658081055,0.0,2412,ok,0.11772394180297852,9.925174000003608
4.149653816223143,0.02487288,0.6180525,24.84745041786806,ed8793904038,start_2412_eval_028_ed8793904038,,28,0.020358280181884764,98881.677262,24.84745041786806,0.4055772590637207,0.0,2412,ok,0.11649088096618648,10.263425041994196
4.066838502883911,0.02299632,0.6065523,26.37491238109484,e05b50f4e4c0,start_2412_eval_029_e05b50f4e4c0,,29,0.020352875709533688,98884.399072,26.37491238109484,0.4013778352737426,0.0,2412,ok,0.11690732717514038,10.052448875001573
4.106159591674805,0.02298754,0.6169817,26.838663960390697,b085d264050b,start_2412_eval_030_b085d264050b,,30,0.02043013763427734,98884.81183,26.838663960390697,0.4006104660034179,0.0,2412,ok,0.11618677139282226,9.998727791004058
4.06991138458252,0.02237705,0.6108603,27.29729802194561,a35c942042bb,start_2412_eval_031_a35c942042bb,,31,0.02035815811157226,98886.306333,27.29729802194561,0.4039604377746582,0.0,2412,ok,0.11688620567321777,9.574668583998573
4.092652511596681,0.02390919,0.6059386,25.342274569963685,ea6149ed4a97,start_2412_eval_032_ea6149ed4a97,,32,0.02031331634521484,98883.419021,25.342274569963685,0.4033124923706054,0.0,2412,ok,0.11651251602172852,9.721794916004
4.05953483581543,0.02386368,0.6021352,25.231228744739084,ab6804062859,start_2412_eval_033_ab6804062859,,33,0.020371665954589835,98882.363198,25.231228744739084,0.40115306854248034,0.0,2412,ok,0.11654730606079101,9.853813499998068
4.114745044708252,0.02305001,0.6179615,26.808434858168905,5e389ed9c8bb,start_2412_eval_034_5e389ed9c8bb,,34,0.020375268936157223,98884.201666,26.808434858168905,0.4039526844024658,0.0,2412,ok,0.11626967525482175,9.714383040998655
4.092673635482788,0.02294103,0.6164557,26.870146190202,3bbe1353bd5b,start_2412_eval_035_3bbe1353bd5b,,35,0.02046459484100341,98885.159783,26.870146190202,0.4021133565902709,0.0,2412,ok,0.11618304491043085,9.936156250005297
4.059545397758484,0.0226959,0.6066903,26.73009529935806,39d5297db8a1,start_2412_eval_036_39d5297db8a1,,36,0.02044730520248412,98887.546601,26.73009529935806,0.4005535006523132,0.0,2412,ok,0.11638257050514218,9.874210541005596
4.100945132970811,0.02288652,0.6108821,26.690620040965555,42c230cc374c,start_2412_eval_037_42c230cc374c,,37,0.02039327800273895,98885.741034,26.690620040965555,0.40310288846492764,0.0,2412,ok,0.11629789906740186,9.761264333006693
4.07487382888794,0.02382093,0.6048757,25.391548879540824,003f8c9f44d1,start_2412_eval_038_003f8c9f44d1,,38,0.020375207901000968,98884.092993,25.391548879540824,0.4031442737579345,0.0,2412,ok,0.11646733760833738,9.867836500001431
4.081292510032654,0.02456373,0.6109601,24.871435590784024,a38e48aedf4f,start_2412_eval_039_a38e48aedf4f,,39,0.020411376476287834,98883.441952,24.871435590784024,0.40303689718246455,0.0,2412,ok,0.11653462529182432,10.039288874999329
4.0880354881286625,0.02401051,0.6054961,25.21691055664554,99ff29453d24,start_2412_eval_040_99ff29453d24,,40,0.0203941478729248,98881.475868,25.21691055664554,0.402285451889038,0.0,2412,ok,0.11653648853302001,9.774131375001161
4.092328214645386,0.02465578,0.6132117,24.86990190933285,60366fc1400c,start_2412_eval_041_60366fc1400c,,41,0.02036671352386474,98882.979344,24.86990190933285,0.403956561088562,0.0,2412,ok,0.11657794046401976,9.95877845799987
4.064728391170503,0.02451362,0.6106019,24.907663263799318,2bbeb0c1e504,start_2412_eval_042_2bbeb0c1e504,,42,0.020402731657028193,98883.717124,24.907663263799318,0.4022569692134856,0.0,2412,ok,0.11663438808917997,9.952647707999859
4.067482036352159,0.02446632,0.6087567,24.88039965145345,fea3726e34b0,start_2412_eval_043_fea3726e34b0,,43,0.020353746294975276,98883.797881,24.88039965145345,0.4027866691350936,0.0,2412,ok,0.11672758466005326,9.985611583004356
4.070934654772282,0.02448492,0.6090369,24.872943307827516,60e5908b1bc6,start_2412_eval_044_60e5908b1bc6,,44,0.020368153840303417,98883.728091,24.872943307827516,0.4028492261469363,0.0,2412,ok,0.11667934481799604,9.922008167006425
4.07239260673523,0.02449578,0.6092888,24.872199529897394,b08c3f3a0777,start_2412_eval_045_b08c3f3a0777,,45,0.020366683006286614,98883.669268,24.872199529897394,0.40355235576629633,0.0,2412,ok,0.11667677164077758,10.196188916997926
4.078973436355591,0.02452234,0.6099422,24.87190570289365,1952fbe557e6,start_2412_eval_046_1952fbe557e6,,46,0.020376152992248528,98883.526697,24.87190570289365,0.4031229448318481,0.0,2412,ok,0.1167113471031189,9.852938333999191
